region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlert
European Region,EurA,France,Brive-la-Gaillarde,827,21,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Caen,828,21,2011,,,,12,2011,,,,>75%,
European Region,EurA,France,Calais,829,27,2011,,,,14,2011,,,,>75%,
European Region,EurA,France,Cergy-Pontoise,830,25,2011,,,,18,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Chalons-en-Champagne,831,25,2011,,,,18,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Chalon-sur-Saone,832,24,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Chambery,833,24,2011,,,,19,2011,,,,>75%,
European Region,EurA,France,Charleville-Mezieres,834,25,2011,,,,18,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Chartres,835,21,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Chateauroux,836,22,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Cherbourg,837,19,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Clermont-Ferrand,838,22,2011,,,,16,2011,,,,>75%,
European Region,EurA,France,Colmar,839,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Creil,840,29,2011,,,,17,2011,,,,>75%,
European Region,EurA,France,Dijon,841,19,2011,,,,15,2011,,,,>75%,
European Region,EurA,France,Douai,842,28,2011,,,,26,2011,,,,>75%,
European Region,EurA,France,Dunkerque,843,23,2011,,,,18,2011,,,,>75%,
European Region,EurA,France,Evreux,844,23,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Fort-de-France,845,29,2011,,,,14,2011,,,,>75%,
European Region,EurA,France,Annemasse,846,32,2011,,,,23,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Grenoble,847,26,2011,,,,22,2011,,,,>75%,
European Region,EurA,France,La Rochelle,848,21,2011,,,,12,2011,,,,>75%,
European Region,EurA,France,Le Havre,849,25,2011,,,,18,2011,,,,>75%,
European Region,EurA,France,Le Mans,850,20,2011,,,,16,2011,,,,>75%,
European Region,EurA,France,Lens,851,24,2010,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Lille,852,29,2011,,,,22,2011,,,,>75%,
European Region,EurA,France,Limoges,853,19,2011,,,,14,2011,,,,>75%,
European Region,EurA,France,Lorient,854,24,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Lyon,855,29,2011,,,,20,2011,,,,>75%,
European Region,EurA,France,Marne la Vallee,856,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Marseille,857,35,2011,,,,17,2011,,,,>75%,
European Region,EurA,France,Martigues,858,32,2011,,,,23,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Melun,859,24,2010,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Metz,860,20,2011,,,,21,2011,,,,>75%,
European Region,EurA,France,Montbeliard,861,27,2011,,,,21,2011,,,,>75%,
European Region,EurA,France,Montpellier,862,23,2011,,,,18,2011,,,,>75%,
European Region,EurA,France,Mulhouse,863,23,2011,,,,18,2011,,,,>75%,
European Region,EurA,France,Nancy,864,21,2011,,,,17,2011,,,,>75%,
European Region,EurA,France,Nantes,865,21,2011,,,,16,2011,,,,>75%,
European Region,EurA,France,Nice,866,26,2011,,,,19,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Nimes,867,24,2011,,,,15,2011,,,,>75%,
European Region,EurA,France,Niort,868,20,2011,,,,13,2011,,,,>75%,
European Region,EurA,France,Orleans,869,23,2011,,,,18,2011,,,,>75%,
European Region,EurA,France,Paris,870,24,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Pau,871,23,2011,,,,14,2011,,,,>75%,
European Region,EurA,France,Perpignan,872,20,2011,,,,17,2011,,,,>75%,
European Region,EurA,France,Poitiers,873,19,2011,,,,17,2011,,,,>75%,
European Region,EurA,France,Quimper,874,22,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Reims,875,29,2011,,,,22,2011,,,,>75%,
European Region,EurA,France,Rennes,876,21,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Roanne,877,27,2011,,,,19,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Rouen,878,25,2011,,,,18,2011,,,,>75%,
European Region,EurA,France,Saint Denis,879,14,2011,,,,10,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Saint-Brieuc,880,22,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Saint-Etienne,881,24,2011,,,,19,2011,,,,>75%,
European Region,EurA,France,Saint-Nazaire,882,24,2011,,,,12,2011,,,,>75%,
European Region,EurA,France,Saint-Quentin,883,29,2011,,,,22,2011,,,,>75%,
European Region,EurA,France,Strasbourg,884,25,2011,,,,19,2011,,,,>75%,
European Region,EurA,France,Tarbes,885,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,France,Toulon,886,28,2011,,,,17,2011,,,,>75%,
European Region,EurA,France,Toulouse,887,26,2011,,,,20,2011,,,,>75%,
European Region,EurA,France,Tours,888,23,2011,,,,17,2011,,,,>75%,
European Region,EurA,France,Troyes,889,26,2011,,,,19,2011,,,,>75%,
European Region,EurA,France,Valence,890,26,2011,,,,19,2011,,,,>75%,
European Region,EurA,France,Valenciennes,891,26,2011,,,,20,2011,,,,>75%,
European Region,EurA,Germany,Aachen,892,19,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Aschaffenburg,893,21,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Augsburg,894,22,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Bamberg,895,21,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Berlin,896,24,2011,,,,20,2011,,,,>75%,
European Region,EurA,Germany,Bielefeld,897,23,2011,,,,20,2011,,,,>75%,
European Region,EurA,Germany,Bonn,898,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Brandenburg an der Havel,899,23,2011,,,,19,2011,,,,>75%,
European Region,EurA,Germany,Braunschweig,900,20,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Bremen,901,21,2011,,,,16,2011,,,,>75%,
European Region,EurA,Germany,Bremerhaven,902,21,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Chemnitz,903,22,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Cottbus,904,25,2011,,,,20,2011,,,,>75%,
European Region,EurA,Germany,Darmstadt,905,16,2011,,,,12,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Dortmund,906,26,2011,,,,19,2011,,,,>75%,
European Region,EurA,Germany,Dresden,907,22,2011,,,,17,2011,,,,>75%,
European Region,EurA,Germany,Duisburg,908,25,2011,,,,18,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Dusseldorf,909,25,2011,,,,17,2011,,,,>75%,
European Region,EurA,Germany,Erlangen,910,20,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Essen,911,30,2011,,,,19,2011,,,,>75%,
European Region,EurA,Germany,Frankfurt,913,22,2011,,,,18,2011,,,,>75%,
European Region,EurA,Germany,Freiburg im Breisgau,914,17,2011,,,,12,2011,,,,>75%,
European Region,EurA,Germany,Fulda,915,19,2011,,,,14,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Gelsenkirchen,916,26,2011,,,,20,2011,,,,>75%,
European Region,EurA,Germany,Gera,917,25,2011,,,,19,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Guttingen,918,15,2011,,,,12,2011,,,,>75%,
European Region,EurA,Germany,Halle an der Saale,919,25,2011,,,,19,2011,,,,>75%,
European Region,EurA,Germany,Hamburg,920,25,2011,,,,17,2011,,,,>75%,
European Region,EurA,Germany,Hannover,921,20,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Ingolstadt,922,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Jena,923,24,2011,,,,18,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Kaiserslautern,924,NA,NA,,,,14,2011,,,,,
European Region,EurA,Germany,Karlsruhe,925,20,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Kassel,926,23,2011,,,,16,2011,,,,>75%,
European Region,EurA,Germany,Kempten,927,18,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Kiel,928,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Koln,929,22,2011,,,,17,2011,,,,>75%,
European Region,EurA,Germany,Konstanz,930,20,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Krefeld,931,26,2011,,,,19,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Leipzig,932,22,2011,,,,16,2011,,,,>75%,
European Region,EurA,Germany,Leverkusen,933,21,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Lubeck,934,22,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Ludwigsburg,935,18,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Ludwigshafen am Rhein,936,22,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Luneburger Heide,937,17,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Magdeburg,938,25,2011,,,,18,2011,,,,>75%,
European Region,EurA,Germany,Mainz,939,21,2011,,,,17,2011,,,,>75%,
European Region,EurA,Germany,Mannheim,940,24,2011,,,,18,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Marburg,941,18,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Monchengladbach,942,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Mulheim a.d.Ruhr,943,25,2011,,,,19,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Munchen,944,21,2011,,,,14,2011,,,,>75%,
European Region,EurA,Germany,Munster,945,23,2011,,,,18,2011,,,,>75%,
European Region,EurA,Germany,Neu-Ulm,946,23,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Nurnberg,947,NA,NA,,,,17,2011,,,,,
European Region,EurA,Germany,Offenburg,948,21,2010,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Osnabruck,949,19,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Potsdam,950,22,2011,,,,18,2011,,,,>75%,
European Region,EurA,Germany,Reutlingen,951,18,2011,,,,14,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Rostock,952,23,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Saarbrucken,953,22,2011,,,,13,2011,,,,>75%,
European Region,EurA,Germany,Solingen,954,20,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Stuttgart,955,21,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Tubingen,956,19,2011,,,,13,2011,,,,>75%,
European Region,EurA,Germany,Ulm,957,21,2011,,,,15,2011,,,,>75%,
European Region,EurA,Germany,Villingen-Schwenningen,958,18,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Weimar,959,21,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Wiesbaden,960,20,2011,,,,17,2011,,,,>75%,
European Region,EurA,Germany,Wolfsburg,961,18,2011,,,,14,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Germany,Wuppertal,962,23,2011,,,,16,2011,,,,>75%,
European Region,EurA,Greece,Agia Paraskevi,963,23,2011,,,,17,2011,,,,93,
European Region,EurA,Greece,Ioannina,964,NA,NA,,,,27,2011,,,,,
European Region,EurA,Greece,Koropi,965,22,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",95,
European Region,EurA,Greece,Lykovrisi,966,30,2011,,,,22,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",84,
European Region,EurA,Greece,Panorama,967,37,2011,,,,27,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",92,
European Region,EurA,Iceland,Hafnarfjordur,968,9,2011,,,,4,2011,,,,>75%,
European Region,EurA,Iceland,Kopavogur,969,10,2011,,,,5,2011,,,,>75%,
European Region,EurA,Iceland,Reykjavik,970,11,2010,,,,10,2010,,,,>75%,
European Region,EurA,Ireland,Cork,971,17,2011,,,,8,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Ireland,Dublin,972,18,2011,,,,9,2011,,,,>75%,
European Region,EurA,Israel ,Ashdod,973,62,2010,,,,22,2010,,,,>87%,
European Region,EurA,Israel ,Ashkelon,974,74,2010,,,,27,2010,,,,>93%,
European Region,EurA,Israel ,Beersheva,975,68,2010,,,,45,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",97%,
European Region,EurA,Israel ,Beit Shemesh ,976,68,2010,,,,45,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",96%,
European Region,EurA,Israel ,Gadera,977,NA,NA,,,,26,2010,,,,96%,
European Region,EurA,Israel ,Hadera,978,46,2010,,,,25,2010,,,,88%,
European Region,EurA,Israel ,Haifa,979,45,2010,,,,22,2010,,,,>90%,
European Region,EurA,Israel ,Heftzibah,980,53,2010,,,,NA,NA,,,,90%,
European Region,EurA,Israel ,Karmei Yosef,981,66,2010,,,,NA,NA,,,,94%,
European Region,EurA,Israel ,Kibbutz Erez,982,68,2010,,,,NA,NA,,,,99%,
European Region,EurA,Israel ,Kibbutz Sde Yo'av,983,NA,NA,,,,24,2010,,,,98%,
European Region,EurA,Israel ,Kiryat Malachi,984,NA,NA,,,,23,2010,,,,95%,
European Region,EurA,Israel ,Modi'in,985,70,2010,,,,46,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>92%,
European Region,EurA,Israel ,Rehovot,986,63,2010,,,,42,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",97%,
European Region,EurA,Israel ,Sderot,987,NA,NA,,,,24,2010,,,,99%,
European Region,EurA,Israel ,Tel Aviv,988,67,2010,,,,23,2010,,,,>76%,
European Region,EurA,Italy,Ancona,989,33,2011,,,,20,2011,,,,>75%,
European Region,EurA,Italy,Asti,990,37,2011,,,,26,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Bari,991,26,2011,,,,18,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Bergamo,992,39,2011,,,,31,2011,,,,>75%,
European Region,EurA,Italy,Biella,993,28,2011,,,,19,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Bologna,994,30,2011,,,,20,2011,,,,>75%,
European Region,EurA,Italy,Brescia,995,43,2011,,,,32,2011,,,,>75%,
European Region,EurA,Italy,Cagliari,996,20,2011,,,,14,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Campobasso,997,22,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Catania,998,24,2010,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Cosenza,999,NA,NA,,,,14,2011,,,,,
European Region,EurA,Italy,Cremona,1000,42,2011,,,,30,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Ferrara,1001,34,2011,,,,23,2011,,,,>75%,
European Region,EurA,Italy,Firenze,1002,25,2011,,,,16,2011,,,,>75%,
European Region,EurA,Italy,Forli,1003,29,2011,,,,20,2011,,,,>75%,
European Region,EurA,Italy,Genova,1004,23,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,La Spezia,1005,23,2011,,,,16,2011,,,,>75%,
European Region,EurA,Italy,Lecco,1006,31,2011,,,,24,2011,,,,>75%,
European Region,EurA,Italy,Livorno,1007,14,2011,,,,9,2011,,,,>75%,
European Region,EurA,Italy,Milano,1008,37,2010,,,,33,2011,,,,>75%,
European Region,EurA,Italy,Modena,1009,38,2011,,,,25,2011,,,,>75%,
European Region,EurA,Italy,Monza,1010,47,2011,,,,39,2011,,,,>75%,
European Region,EurA,Italy,Napoli,1011,39,2008,,,,27,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Novara,1012,32,2011,,,,26,2011,,,,>75%,
European Region,EurA,Italy,Padova,1013,44,2011,,,,34,2011,,,,>75%,
European Region,EurA,Italy,Parma,1014,36,2011,,,,22,2011,,,,>75%,
European Region,EurA,Italy,Pavia,1015,29,2011,,,,20,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Perugia,1016,23,2011,,,,15,2011,,,,>75%,
European Region,EurA,Italy,Pesaro,1017,35,2011,,,,20,2011,,,,>75%,
European Region,EurA,Italy,Pescara,1018,37,2011,,,,26,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Piacenza,1019,35,2011,,,,26,2011,,,,>75%,
European Region,EurA,Italy,Pisa,1020,26,2011,,,,18,2011,,,,>75%,
European Region,EurA,Italy,Prato,1021,30,2011,,,,22,2011,,,,>75%,
European Region,EurA,Italy,Ravenna,1022,36,2011,,,,25,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Reggio nell Emilia,1023,35,2011,,,,25,2011,,,,>75%,
European Region,EurA,Italy,Rimini,1024,35,2011,,,,25,2011,,,,>75%,
European Region,EurA,Italy,Roma,1025,32,2011,,,,21,2011,,,,>75%,
European Region,EurA,Italy,Savona,1026,21,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Taranto,1027,24,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Torino,1028,44,2011,,,,35,2011,,,,>75%,
European Region,EurA,Italy,Trento,1029,26,2011,,,,19,2011,,,,>75%,
European Region,EurA,Italy,Treviso,1030,43,2011,,,,30,2011,,,,>75%,
European Region,EurA,Italy,Udine,1031,28,2011,,,,21,2011,,,,>75%,
European Region,EurA,Italy,Varese,1032,20,2009,,,,14,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Venezia,1033,38,2011,,,,30,2011,,,,>75%,
European Region,EurA,Italy,Verona,1034,35,2011,,,,28,2011,,,,>75%,
European Region,EurA,Italy,Viareggio,1035,30,2011,,,,21,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Italy,Vicenza,1036,44,2011,,,,31,2011,,,,>75%,
European Region,EurC,Latvia,Riga,1037,23,2011,,,,16,2009,,,,>75%,
European Region,EurC,Lithuania,Panevezys,1038,19,2011,,,,12,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurC,Lithuania,Vilnius,1039,23,2011,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Luxembourg,Luxembourg,1040,18,2011,,,,14,2011,,,,>75%,
European Region,EurA,Malta,Zejtun,1041,NA,NA,,,,12,2011,,,,,
European Region,EurA,Monaco,Monaco,1042,20,2010,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",N/A,
European Region,EurA,Netherlands,Amsterdam,1043,25,2011,,,,18,2011,,,,>75%,
European Region,EurA,Netherlands,Breda,1044,25,2010,,,,16,2011,,,,>75%,
European Region,EurA,Netherlands,Dordrecht,1045,26,2011,,,,17,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Netherlands,Enschede,1046,NA,NA,,,,15,2011,,,,,
European Region,EurA,Netherlands,Groningen,1047,NA,NA,,,,14,2011,,,,,
European Region,EurA,Netherlands,Heerlen,1048,23,2011,,,,15,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Netherlands,Nijmegen,1049,NA,NA,,,,16,2011,,,,,
European Region,EurA,Netherlands,Rotterdam,1050,25,2011,,,,17,2011,,,,>75%,
European Region,EurA,Netherlands,s' Gravenhage,1051,27,2011,,,,16,2011,,,,>75%,
European Region,EurA,Netherlands,Schiedam,1052,NA,NA,,,,18,2011,,,,,
European Region,EurA,Netherlands,Utrecht,1053,NA,NA,,,,18,2011,,,,,
European Region,EurA,Netherlands,Zaanstad,1054,27,2011,,,,17,2011,,,,>75%,
European Region,EurA,Norway,Bergen,1055,19,2010,,,,9,2011,,,,>75%,
European Region,EurA,Norway,Oslo,1056,23,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurA,Norway,Stavanger,1057,17,2011,,,,8,2011,,,,>75%,
European Region,EurA,Norway,Trondheim,1058,14,2011,,,,8,2011,,,,>75%,
European Region,EurB,Poland,Bialystok,1059,33,2011,,,,27,2011,,,,>75%,
European Region,EurB,Poland,Bielsko-Biala,1060,43,2011,,,,34,2011,,,,>75%,
European Region,EurB,Poland,Bydgoszcz,1061,19,2010,,,,17,2011,,,,>75%,
European Region,EurB,Poland,Chelm,1062,31,2011,,,,22,2011,,,,>75%,
European Region,EurB,Poland,Czestochowa,1063,43,2011,,,,37,2011,,,,>75%,
European Region,EurB,Poland,Elblag,1064,25,2011,,,,18,2011,,,,>75%,
European Region,EurB,Poland,Gdansk,1065,24,2011,,,,18,2011,,,,>75%,
European Region,EurB,Poland,Gdynia,1066,18,2011,,,,13,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurB,Poland,Gliwice,1067,52,2011,,,,34,2011,,,,>75%,
European Region,EurB,Poland,Gorzow Wielkopolski,1068,33,2011,,,,17,2011,,,,>75%,
European Region,EurB,Poland,Grudziadz,1069,23,2010,,,,16,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
European Region,EurB,Poland,Inowroclaw,1070,17,2010,,,,12,NA,Yes,4,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",>75%,
